athlete_id,athlete_name,sex,age,height,weight,team,noc,games,year,season,city,sport,event,medal,source,country_from_noc,country_name,iso3,is_medal,is_gold,medal_score
142011,Jeannie Longo-ciprelli,F,,,,France,FRA,,2000,Summer,Sydney,Cycling,Cycling Women's Individual Time Trial,Bronze,olympics_dataset_1896_2024,France,France,FRA,1,0,1
142017,Thomas Longosiwa,M,,,,Kenya,KEN,,2012,Summer,London,Athletics,"Athletics Men's 5,000 metres",Bronze,olympics_dataset_1896_2024,Kenya,Kenya,KEN,1,0,1
142055,Anita (-porter),F,,,,Great Britain,GBR,,1960,Summer,Roma,Swimming,Swimming Women's 200 metres Breaststroke,Gold,olympics_dataset_1896_2024,United Kingdom,United Kingdom,GBR,1,1,3
142074,Fredrik Lf,M,,,,Sweden,SWE,,2000,Summer,Sydney,Sailing,Sailing Men's One Person Dinghy,Bronze,olympics_dataset_1896_2024,Sweden,Sweden,SWE,1,0,1
142077,Fredrik Lf,M,,,,Sweden,SWE,,2012,Summer,London,Sailing,Sailing Men's Two Person Keelboat,Gold,olympics_dataset_1896_2024,Sweden,Sweden,SWE,1,1,3
142086,Frank Jr.,M,,,,United States,USA,,1920,Summer,Antwerpen,Athletics,Athletics Men's 400 metres Hurdles,Gold,olympics_dataset_1896_2024,United States,United States,USA,1,1,3
142087,Alfred Jr.,M,,,,Llanoria,USA,,1948,Summer,London,Sailing,Sailing Mixed 6 metres,Gold,olympics_dataset_1896_2024,United States,United States,USA,1,1,3
142118,Yevgeny Lopatin,M,,,,Soviet Union,URS,,1952,Summer,Helsinki,Weightlifting,Weightlifting Men's Lightweight,Silver,olympics_dataset_1896_2024,Russia,Soviet Union,URS,1,0,2
142129,Carlos Lopes,M,,,,Portugal,POR,,1976,Summer,Montreal,Athletics,"Athletics Men's 10,000 metres",Silver,olympics_dataset_1896_2024,Portugal,Portugal,PRT,1,0,2
142130,Carlos Lopes,M,,,,Portugal,POR,,1984,Summer,Los Angeles,Athletics,Athletics Men's Marathon,Gold,olympics_dataset_1896_2024,Portugal,Portugal,PRT,1,1,3
142151,Priscilla Lopes-schliep,F,,,,Canada,CAN,,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres Hurdles,Bronze,olympics_dataset_1896_2024,Canada,Canada,CAN,1,0,1
142178,Arlen Cardona,M,,,,Cuba,CUB,,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,Gold,olympics_dataset_1896_2024,Cuba,Cuba,CUB,1,1,3
142205,Diana Lopez,F,,,,United States,USA,,2008,Summer,Beijing,Taekwondo,Taekwondo Women's Featherweight,Bronze,olympics_dataset_1896_2024,United States,United States,USA,1,0,1
142267,Hctor Coln,M,,,,Mexico,MEX,,1984,Summer,Los Angeles,Boxing,Boxing Men's Bantamweight,Silver,olympics_dataset_1896_2024,Mexico,Mexico,MEX,1,0,2
142330,Livn Azcuy,M,,,,Cuba,CUB,,2012,Summer,London,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze,olympics_dataset_1896_2024,Cuba,Cuba,CUB,1,0,1
142360,Marc Tarrs,M,,,,Spain-2,ESP,,2016,Summer,Rio de Janeiro,Tennis,Tennis Men's Doubles,Gold,olympics_dataset_1896_2024,Spain,Spain,ESP,1,1,3
142365,Mark Lopez,M,,,,United States,USA,,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Featherweight,Silver,olympics_dataset_1896_2024,United States,United States,USA,1,0,2
142370,Michel Nez,M,,,,Cuba,CUB,,2004,Summer,Athina,Boxing,Boxing Men's Super-Heavyweight,Bronze,olympics_dataset_1896_2024,Cuba,Cuba,CUB,1,0,1
142379,Mijan Nez,M,,,,Cuba,CUB,,2008,Summer,Beijing,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold,olympics_dataset_1896_2024,Cuba,Cuba,CUB,1,1,3
142380,Mijan Nez,M,,,,Cuba,CUB,,2012,Summer,London,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold,olympics_dataset_1896_2024,Cuba,Cuba,CUB,1,1,3
142381,Mijan Nez,M,,,,Cuba,CUB,,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold,olympics_dataset_1896_2024,Cuba,Cuba,CUB,1,1,3
142391,Nicolas Lopez,M,,,,France,FRA,,2008,Summer,Beijing,Fencing,"Fencing Men's Sabre, Individual",Silver,olympics_dataset_1896_2024,France,France,FRA,1,0,2
142392,Nicolas Lopez,M,,,,France,FRA,,2008,Summer,Beijing,Fencing,"Fencing Men's Sabre, Team",Gold,olympics_dataset_1896_2024,France,France,FRA,1,1,3
142436,Sergio Mir,M,,,,Spain,ESP,,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Breaststroke,Bronze,olympics_dataset_1896_2024,Spain,Spain,ESP,1,0,1
142440,Steven Lopez,M,,,,United States,USA,,2000,Summer,Sydney,Taekwondo,Taekwondo Men's Featherweight,Gold,olympics_dataset_1896_2024,United States,United States,USA,1,1,3
142441,Steven Lopez,M,,,,United States,USA,,2004,Summer,Athina,Taekwondo,Taekwondo Men's Welterweight,Gold,olympics_dataset_1896_2024,United States,United States,USA,1,1,3
142442,Steven Lopez,M,,,,United States,USA,,2008,Summer,Beijing,Taekwondo,Taekwondo Men's Welterweight,Bronze,olympics_dataset_1896_2024,United States,United States,USA,1,0,1
142466,David Purcell,M,,,,Spain,ESP,,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Butterfly,Bronze,olympics_dataset_1896_2024,Spain,Spain,ESP,1,0,1
142476,Martn Purcell,M,,,,Spain,ESP,,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Backstroke,Gold,olympics_dataset_1896_2024,Spain,Spain,ESP,1,1,3
142483,Alessandro Lopopolo,M,,,,Italy,ITA,,1960,Summer,Roma,Boxing,Boxing Men's Lightweight,Silver,olympics_dataset_1896_2024,Italy,Italy,ITA,1,0,2
142556,Dietmar Lorenz,M,,,,East Germany,GDR,,1980,Summer,Moskva,Judo,Judo Men's Half-Heavyweight,Bronze,olympics_dataset_1896_2024,Germany,Germany,DEU,1,0,1
142557,Dietmar Lorenz,M,,,,East Germany,GDR,,1980,Summer,Moskva,Judo,Judo Men's Open Class,Gold,olympics_dataset_1896_2024,Germany,Germany,DEU,1,1,3
142625,Mrton Lrincz,M,,,,Hungary,HUN,,1936,Summer,Berlin,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold,olympics_dataset_1896_2024,Hungary,Hungary,HUN,1,1,3
142627,Tams Lrincz,M,,,,Hungary,HUN,,2012,Summer,London,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver,olympics_dataset_1896_2024,Hungary,Hungary,HUN,1,0,2
142663,Ketevan Losaberidze,F,,,,Soviet Union,URS,,1980,Summer,Moskva,Archery,Archery Women's Individual,Gold,olympics_dataset_1896_2024,Russia,Soviet Union,URS,1,1,3
142666,Claudia Losch,F,,,,West Germany,FRG,,1984,Summer,Los Angeles,Athletics,Athletics Women's Shot Put,Gold,olympics_dataset_1896_2024,Germany,Germany,DEU,1,1,3
142672,Helmut Losch,M,,,,East Germany,GDR,,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze,olympics_dataset_1896_2024,Germany,Germany,DEU,1,0,1
142745,Jri Lossman,M,,,,Estonia,EST,,1920,Summer,Antwerpen,Athletics,Athletics Men's Marathon,Silver,olympics_dataset_1896_2024,Estonia,Estonia,EST,1,0,2
142778,Ingrid (eichmann-),F,,,,Germany,GER,,1964,Summer,Tokyo,Athletics,Athletics Women's Discus Throw,Silver,olympics_dataset_1896_2024,Germany,Germany,DEU,1,0,2
142791,Lou Yun,M,,,,China,CHN,,1984,Summer,Los Angeles,Gymnastics,Gymnastics Men's Floor Exercise,Silver,olympics_dataset_1896_2024,China,China,CHN,1,0,2
142792,Lou Yun,M,,,,China,CHN,,1984,Summer,Los Angeles,Gymnastics,Gymnastics Men's Horse Vault,Gold,olympics_dataset_1896_2024,China,China,CHN,1,1,3
142799,Lou Yun,M,,,,China,CHN,,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Floor Exercise,Bronze,olympics_dataset_1896_2024,China,China,CHN,1,0,1
142800,Lou Yun,M,,,,China,CHN,,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Horse Vault,Gold,olympics_dataset_1896_2024,China,China,CHN,1,1,3
142819,Henry Loubscher,M,,,,South Africa,RSA,,1956,Summer,Melbourne,Boxing,Boxing Men's Light-Welterweight,Bronze,olympics_dataset_1896_2024,South Africa,South Africa,ZAF,1,0,1
142835,Gregory Louganis,M,,,,United States,USA,,1976,Summer,Montreal,Diving,Diving Men's Platform,Silver,olympics_dataset_1896_2024,United States,United States,USA,1,0,2
142836,Gregory Louganis,M,,,,United States,USA,,1984,Summer,Los Angeles,Diving,Diving Men's Springboard,Gold,olympics_dataset_1896_2024,United States,United States,USA,1,1,3
142837,Gregory Louganis,M,,,,United States,USA,,1984,Summer,Los Angeles,Diving,Diving Men's Platform,Gold,olympics_dataset_1896_2024,United States,United States,USA,1,1,3
142838,Gregory Louganis,M,,,,United States,USA,,1988,Summer,Seoul,Diving,Diving Men's Springboard,Gold,olympics_dataset_1896_2024,United States,United States,USA,1,1,3
142839,Gregory Louganis,M,,,,United States,USA,,1988,Summer,Seoul,Diving,Diving Men's Platform,Gold,olympics_dataset_1896_2024,United States,United States,USA,1,1,3
142858,Spyridon Louis,M,,,,Greece,GRE,,1896,Summer,Athina,Athletics,Athletics Men's Marathon,Gold,olympics_dataset_1896_2024,Greece,Greece,GRC,1,1,3
142872,Toivo Loukola,M,,,,Finland,FIN,,1928,Summer,Amsterdam,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold,olympics_dataset_1896_2024,Finland,Finland,FIN,1,1,3
142932,Lzr Lovsz,M,,,,Hungary,HUN,,1968,Summer,Mexico City,Athletics,Athletics Men's Hammer Throw,Bronze,olympics_dataset_1896_2024,Hungary,Hungary,HUN,1,0,1
142956,Lea (-maurer),F,,,,United States,USA,,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Backstroke,Bronze,olympics_dataset_1896_2024,United States,United States,USA,1,0,1
142959,Santiago Birnes,M,,,,Argentina,ARG,,1932,Summer,Los Angeles,Boxing,Boxing Men's Heavyweight,Gold,olympics_dataset_1896_2024,Argentina,Argentina,ARG,1,1,3
142960,Guillermo Birnes,M,,,,Argentina,ARG,,1936,Summer,Berlin,Boxing,Boxing Men's Heavyweight,Silver,olympics_dataset_1896_2024,Argentina,Argentina,ARG,1,0,2
142970,John Iii,M,,,,United States,USA,,2004,Summer,Athina,Sailing,Sailing Mixed Multihull,Silver,olympics_dataset_1896_2024,United States,United States,USA,1,0,2
142978,John Lovelock,M,,,,New Zealand,NZL,,1936,Summer,Berlin,Athletics,"Athletics Men's 1,500 metres",Gold,olympics_dataset_1896_2024,New Zealand,New Zealand,NZL,1,1,3
143007,Fia (rafira-),F,,,,Romania,ROU,,1984,Summer,Los Angeles,Athletics,Athletics Women's 800 metres,Bronze,olympics_dataset_1896_2024,Romania,Romania,ROU,1,0,1
143035,Lawrence Low,M,,,,Kathleen,USA,,1956,Summer,Melbourne,Sailing,Sailing Mixed Two Person Keelboat,Gold,olympics_dataset_1896_2024,United States,United States,USA,1,1,3
143057,Douglas Lowe,M,,,,Great Britain,GBR,,1924,Summer,Paris,Athletics,Athletics Men's 800 metres,Gold,olympics_dataset_1896_2024,United Kingdom,United Kingdom,GBR,1,1,3
143059,Douglas Lowe,M,,,,Great Britain,GBR,,1928,Summer,Amsterdam,Athletics,Athletics Men's 800 metres,Gold,olympics_dataset_1896_2024,United Kingdom,United Kingdom,GBR,1,1,3
143116,Steven Lowney,M,,,,United States,USA,,2000,Summer,Sydney,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze,olympics_dataset_1896_2024,United States,United States,USA,1,0,1
143134,Nelson Torriente,M,,,,Cuba,CUB,,2000,Summer,Sydney,Fencing,"Fencing Men's epee, Team",Bronze,olympics_dataset_1896_2024,Cuba,Cuba,CUB,1,0,1
143170,Rafael Muoz,M,,,,Spain,ESP,,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Flyweight,Bronze,olympics_dataset_1896_2024,Spain,Spain,ESP,1,0,1
143171,Rafael Muoz,M,,,,Spain,ESP,,2000,Summer,Sydney,Boxing,Boxing Men's Light-Flyweight,Silver,olympics_dataset_1896_2024,Spain,Spain,ESP,1,0,2
143187,Valeriy Lozik,M,,,,Soviet Union,URS,,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,olympics_dataset_1896_2024,Russia,Soviet Union,URS,1,0,1
143223,Helge Lvland,M,,,,Norway,NOR,,1920,Summer,Antwerpen,Athletics,Athletics Men's Decathlon,Gold,olympics_dataset_1896_2024,Norway,Norway,NOR,1,1,3
143255,Lu Chunlong,M,,,,China,CHN,,2008,Summer,Beijing,Trampolining,Trampolining Men's Individual,Gold,olympics_dataset_1896_2024,China,China,CHN,1,1,3
143256,Lu Chunlong,M,,,,China,CHN,,2012,Summer,London,Trampolining,Trampolining Men's Individual,Bronze,olympics_dataset_1896_2024,China,China,CHN,1,0,1
