year,season,noc,iso3,country_name,athletes,female_athletes,male_athletes,female_athlete_share,female_share,avg_age,median_age,avg_height,avg_weight,athlete_event_entries,sports_participated,events_participated
1924,Summer,YUG,YUG,Serbia,42,0,42,0.0,0.0,25.319444444444443,25.0,190.0,90.0,116,9,27
1928,Summer,ARG,ARG,Argentina,81,0,81,0.0,0.0,23.345454545454544,23.0,172.625,68.38888888888889,98,12,40
1928,Summer,AUS,AUS,Australia,18,4,14,0.2222222222222222,0.2222222222222222,21.285714285714285,21.0,176.375,74.5,29,6,26
1928,Summer,AUT,AUT,Austria,73,6,67,0.0821917808219178,0.0821917808219178,36.8876404494382,35.0,173.8,83.14285714285714,113,13,39
1928,Summer,BEL,BEL,Belgium,187,12,175,0.06417112299465241,0.06417112299465241,28.45390070921986,26.0,177.1,75.18181818181819,260,15,90
1928,Summer,BUL,BGR,Bulgaria,5,0,5,0.0,0.0,30.3,30.0,172.0,66.0,10,2,5
1928,Summer,CAN,CAN,Canada,69,7,62,0.10144927536231885,0.10144927536231885,24.429906542056074,22.0,172.09756097560975,59.85294117647059,113,8,49
1928,Summer,CHI,CHL,Chile,38,0,38,0.0,0.0,25.31578947368421,25.0,174.88888888888889,71.66666666666667,46,6,22
1928,Summer,CUB,CUB,Cuba,1,0,1,0.0,0.0,24.0,24.0,181.0,70.0,1,1,1
1928,Summer,DEN,DNK,Denmark,91,9,82,0.0989010989010989,0.0989010989010989,29.278688524590162,27.0,169.63636363636363,60.0,122,14,55
1928,Summer,EGY,EGY,Egypt,32,0,32,0.0,0.0,25.846153846153847,23.0,172.0,86.5,43,5,14
1928,Summer,ESP,ESP,Spain,80,0,80,0.0,0.0,26.66304347826087,24.5,176.0,55.0,106,10,34
1928,Summer,EST,EST,Estonia,20,0,20,0.0,0.0,25.956521739130434,25.0,174.5,80.28571428571429,23,5,19
1928,Summer,FIN,FIN,Finland,69,2,67,0.028985507246376812,0.028985507246376812,24.03787878787879,23.0,173.43055555555554,67.82857142857142,132,11,48
1928,Summer,FRA,FRA,France,255,36,219,0.1411764705882353,0.1411764705882353,31.6996336996337,28.0,173.28846153846155,72.46938775510205,422,17,112
1928,Summer,GBR,GBR,United Kingdom,232,31,201,0.1336206896551724,0.1336206896551724,32.42238267148014,26.0,177.0857142857143,71.29629629629629,354,14,84
1928,Summer,GER,DEU,Germany,295,35,260,0.11864406779661017,0.11864406779661017,32.86910994764398,28.0,175.39743589743588,69.0,399,16,95
1928,Summer,GRE,GRC,Greece,23,0,23,0.0,0.0,21.85,22.0,177.0,73.33333333333333,47,4,26
1928,Summer,HAI,HAI,Haiti,2,0,2,0.0,0.0,23.666666666666668,22.0,168.66666666666666,59.666666666666664,3,1,3
