noc,iso3,country_name,sport,year,total_medals,gold_medals,prev_total_medals,prev_gold_medals,rolling3_prev_medals,medal_growth,gold_growth,above_recent_baseline,first_medal_bonus,continuity_bonus,sport_total_medals,sport_total_growth,sport_expansion_penalty,olympic_leap_index
ITA,ITA,Italy,Fencing,1980,1,0,4.0,1.0,2.6666666666666665,-3.0,-1.0,0.0,0,1.0,24,-4.0,0.0,-2.5986378330768507
CAN,CAN,Canada,Rowing,1996,6,1,5.0,4.0,4.0,1.0,-3.0,2.0,0,1.0,42,0.0,0.0,-2.598781031150655
HUN,HUN,Hungary,Athletics,1908,2,0,5.0,1.0,3.3333333333333335,-3.0,-1.0,0.0,0,1.0,78,14.0,14.0,-2.607403414371769
FIN,FIN,Finland,Wrestling,2004,1,0,1.0,0.0,1.3333333333333333,0.0,0.0,0.0,0,0.0,54,6.0,6.0,-2.609492217206065
AUS,AUS,Australia,Canoeing,2016,2,0,2.0,1.0,3.0,0.0,-1.0,0.0,0,0.0,49,1.0,1.0,-2.6159556401801836
KOR,KOR,South Korea,Badminton,2012,1,0,3.0,1.0,3.0,-2.0,-1.0,0.0,0,1.0,15,0.0,0.0,-2.6179473645847198
CAN,CAN,Canada,Rowing,2012,2,0,4.0,1.0,2.0,-2.0,-1.0,0.0,0,1.0,42,0.0,0.0,-2.6179473645847198
HUN,HUN,Hungary,Judo,2012,2,0,4.0,1.0,2.3333333333333335,-2.0,-1.0,0.0,0,1.0,56,0.0,0.0,-2.6179473645847198
FRA,FRA,France,Swimming,1932,1,0,5.0,1.0,5.0,-4.0,-1.0,0.0,0,1.0,33,0.0,0.0,-2.622374019414579
USA,USA,United States,Diving,1972,3,1,6.0,2.0,6.666666666666667,-3.0,-1.0,0.0,0,1.0,14,2.0,2.0,-2.6255791720944526
KOR,KOR,South Korea,Judo,1992,4,1,3.0,2.0,3.6666666666666665,1.0,-1.0,0.3333333333333335,0,1.0,56,23.0,23.0,-2.6309098402145183
CHN,CHN,China,Table Tennis,2004,6,3,8.0,4.0,7.333333333333333,-2.0,-1.0,0.0,0,1.0,12,0.0,0.0,-2.6364374077679646
BUL,BGR,Bulgaria,Boxing,2004,1,0,3.0,1.0,2.3333333333333335,-2.0,-1.0,0.0,0,1.0,44,-4.0,0.0,-2.6364374077679646
NZL,NZL,New Zealand,Canoeing,2004,1,0,3.0,1.0,3.5,-2.0,-1.0,0.0,0,1.0,48,0.0,0.0,-2.6364374077679646
TUR,TUR,Turkey,Wrestling,2020,3,0,5.0,1.0,2.6666666666666665,-2.0,-1.0,0.3333333333333335,0,1.0,72,0.0,0.0,-2.6487870924010113
