country_name,noc,period_start,period_end,female_medals_start,female_medals_end,female_medal_growth_total,female_event_opportunity_start,female_event_opportunity_end,female_athlete_share_start,female_athlete_share_end,female_capture_ratio_start,female_capture_ratio_end,opportunity_expansion_component,participation_expansion_component,conversion_improvement_component,unexplained_component,dominant_growth_driver,decomposition_confidence,interpretation_text
United Kingdom,GBR,1996,2008,1.0,16.0,15.0,0.35793357933579334,0.41721854304635764,0.38666666666666666,0.46381578947368424,0.18625429553264605,0.7989417989417988,0.1656311872738446,0.23257092314141264,3.601797889584743,11.0,unexplained_or_scale_change,medium,"United Kingdom 1996-2008: female medals moved from 1 to 16 (+15). Dominant descriptive driver: unexplained_or_scale_change. Opportunity component 0.17, participation component 0.23, conversion component 3.6, unexplained/scale component 11.0. This is descriptive shift-share decomposition, not causal identification. Method: full opportunity-participation-conversion decomposition."
United Kingdom,GBR,2008,2020,16.0,26.0,10.0,0.41721854304635764,0.4715909090909091,0.46381578947368424,,0.7989417989417988,0.8481927710843373,2.085137085137085,,1.1148629148629166,6.799999999999999,unexplained_or_scale_change,low_missing_athlete_share_or_conversion_inputs,"United Kingdom 2008-2020: female medals moved from 16 to 26 (+10). Dominant descriptive driver: unexplained_or_scale_change. Opportunity component 2.09, participation component nan, conversion component 1.11, unexplained/scale component 6.8. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
United Kingdom,GBR,2020,2024,26.0,32.0,6.0,0.4715909090909091,0.4796747967479675,,,0.8481927710843373,1.0589184826472962,0.4456851797433623,,6.5701878361296515,-1.015873015873014,conversion_improvement,low_missing_athlete_share_or_conversion_inputs,"United Kingdom 2020-2024: female medals moved from 26 to 32 (+6). Dominant descriptive driver: conversion_improvement. Opportunity component 0.45, participation component nan, conversion component 6.57, unexplained/scale component -1.02. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Georgia,GEO,1996,2008,0.0,1.0,1.0,0.35793357933579334,0.41721854304635764,0.20588235294117646,0.22857142857142856,0.0,0.3994708994708994,0.0,0.0,0.33333333333333337,0.6666666666666666,unexplained_or_scale_change,medium,"Georgia 1996-2008: female medals moved from 0 to 1 (+1). Dominant descriptive driver: unexplained_or_scale_change. Opportunity component 0.0, participation component 0.0, conversion component 0.33, unexplained/scale component 0.67. This is descriptive shift-share decomposition, not causal identification. Method: full opportunity-participation-conversion decomposition."
Georgia,GEO,2008,2020,1.0,0.0,-1.0,0.41721854304635764,0.4715909090909091,0.22857142857142856,,0.3994708994708994,0.0,0.1303210678210678,,-1.1303210678210678,0.0,no_positive_female_medal_growth,low_missing_athlete_share_or_conversion_inputs,"Georgia 2008-2020: female medals moved from 1 to 0 (-1). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 0.13, participation component nan, conversion component -1.13, unexplained/scale component 0.0. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Georgia,GEO,2020,2024,0.0,0.0,0.0,0.4715909090909091,0.4796747967479675,,,0.0,0.0,0.0,,0.0,0.0,no_positive_female_medal_growth,low_missing_athlete_share_or_conversion_inputs,"Georgia 2020-2024: female medals moved from 0 to 0 (+0). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 0.0, participation component nan, conversion component 0.0, unexplained/scale component 0.0. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Germany,GER,1996,2008,22.0,15.0,-7.0,0.35793357933579334,0.41721854304635764,0.4012875536480687,0.4357142857142857,0.9455987311657416,0.8768873403019743,3.643886120024581,2.200006425728618,-4.063404740875147,-8.780487804878053,no_positive_female_medal_growth,medium,"Germany 1996-2008: female medals moved from 22 to 15 (-7). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 3.64, participation component 2.2, conversion component -4.06, unexplained/scale component -8.78. This is descriptive shift-share decomposition, not causal identification. Method: full opportunity-participation-conversion decomposition."
Germany,GER,2008,2020,15.0,16.0,1.0,0.41721854304635764,0.4715909090909091,0.4357142857142857,,0.8768873403019743,0.9169651579290133,1.9548160173160172,,0.7749137124137142,-1.7297297297297316,opportunity_expansion,low_missing_athlete_share_or_conversion_inputs,"Germany 2008-2020: female medals moved from 15 to 16 (+1). Dominant descriptive driver: opportunity_expansion. Opportunity component 1.95, participation component nan, conversion component 0.77, unexplained/scale component -1.73. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Germany,GER,2020,2024,16.0,18.0,2.0,0.4715909090909091,0.4796747967479675,,,0.9169651579290133,1.210497539639147,0.2742678029189922,,5.209603164822942,-3.483870967741934,conversion_improvement,low_missing_athlete_share_or_conversion_inputs,"Germany 2020-2024: female medals moved from 16 to 18 (+2). Dominant descriptive driver: conversion_improvement. Opportunity component 0.27, participation component nan, conversion component 5.21, unexplained/scale component -3.48. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Greece,GRE,1984,1996,0.0,1.0,1.0,0.28054298642533937,0.35793357933579334,0.06349206349206349,0.2809917355371901,0.0,0.3492268041237114,0.0,0.0,0.25,0.75,unexplained_or_scale_change,medium,"Greece 1984-1996: female medals moved from 0 to 1 (+1). Dominant descriptive driver: unexplained_or_scale_change. Opportunity component 0.0, participation component 0.0, conversion component 0.25, unexplained/scale component 0.75. This is descriptive shift-share decomposition, not causal identification. Method: full opportunity-participation-conversion decomposition."
Greece,GRE,1996,2008,1.0,2.0,1.0,0.35793357933579334,0.41721854304635764,0.2809917355371901,0.4605263157894737,0.3492268041237114,1.1984126984126984,0.16563118727384457,0.7447589358317017,2.0896098768944538,-2.0,conversion_improvement,medium,"Greece 1996-2008: female medals moved from 1 to 2 (+1). Dominant descriptive driver: conversion_improvement. Opportunity component 0.17, participation component 0.74, conversion component 2.09, unexplained/scale component -2.0. This is descriptive shift-share decomposition, not causal identification. Method: full opportunity-participation-conversion decomposition."
Greece,GRE,2008,2020,2.0,0.0,-2.0,0.41721854304635764,0.4715909090909091,0.4605263157894737,,1.1984126984126984,0.0,0.2606421356421357,,-2.2606421356421356,0.0,no_positive_female_medal_growth,low_missing_athlete_share_or_conversion_inputs,"Greece 2008-2020: female medals moved from 2 to 0 (-2). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 0.26, participation component nan, conversion component -2.26, unexplained/scale component 0.0. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Greece,GRE,2020,2024,0.0,1.0,1.0,0.4715909090909091,0.4796747967479675,,,0.0,0.2605932203389831,0.0,,0.5,0.5,conversion_improvement,low_missing_athlete_share_or_conversion_inputs,"Greece 2020-2024: female medals moved from 0 to 1 (+1). Dominant descriptive driver: conversion_improvement. Opportunity component 0.0, participation component nan, conversion component 0.5, unexplained/scale component 0.5. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
Grenada,GRN,2020,2024,0.0,0.0,0.0,0.4715909090909091,0.4796747967479675,,,0.0,0.0,0.0,,0.0,0.0,no_positive_female_medal_growth,low_missing_athlete_share_or_conversion_inputs,"Grenada 2020-2024: female medals moved from 0 to 0 (+0). Dominant descriptive driver: no_positive_female_medal_growth. Opportunity component 0.0, participation component nan, conversion component 0.0, unexplained/scale component 0.0. This is descriptive shift-share decomposition, not causal identification. Method: limited decomposition using opportunity and capture ratio. Limits: female athlete share missing for at least one endpoint; conversion factor could not be fully decomposed."
